"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 04:48:45,0.363%,0.229%,0.275%,0.171%,0%,99.0%
2024-12-16 04:49:00,0.300%,0.704%,0.138%,0.0958%,0%,98.8%
2024-12-16 04:49:15,0.508%,1.63%,0.0167%,0.271%,0%,97.7%
2024-12-16 04:49:30,0.608%,1.07%,0.00417%,0.158%,0%,98.0%
2024-12-16 04:49:45,0.492%,1.12%,0.00417%,0.183%,0%,98.0%
2024-12-16 04:50:00,0.558%,0.796%,0.0125%,0.192%,0%,98.3%
2024-12-16 04:50:15,0.529%,0.667%,0.0125%,0.146%,0%,98.5%
2024-12-16 04:50:30,0.619%,0.733%,0.00380%,0.144%,0%,89.5%
2024-12-16 04:50:45,0.525%,0.700%,0.0125%,0.233%,0%,98.5%
2024-12-16 04:51:00,0.614%,0.629%,0.00762%,0.282%,0%,89.8%
2024-12-16 04:51:15,0.538%,0.725%,0.00417%,0.288%,0%,98.3%
2024-12-16 04:51:30,0.605%,0.795%,0.00380%,0.183%,0%,89.6%
2024-12-16 04:51:45,0.625%,0.650%,0.0125%,0.175%,0%,98.4%
2024-12-16 04:52:00,0.532%,0.536%,0.00380%,0.186%,0%,89.7%
2024-12-16 04:52:15,0.667%,0.767%,0.0167%,0.179%,0%,98.3%
2024-12-16 04:52:30,0.535%,0.642%,0.00380%,0.182%,0%,89.6%
2024-12-16 04:52:45,0.575%,0.692%,0.00833%,0.137%,0%,98.4%
2024-12-16 04:53:00,0.556%,0.681%,0.00381%,0.198%,0%,89.8%
2024-12-16 04:53:15,0.442%,0.650%,0.00834%,0.171%,0%,98.5%
2024-12-16 04:53:30,0.570%,0.745%,0.00380%,0.175%,0%,89.6%
2024-12-16 04:53:45,0.567%,0.704%,0.00417%,0.200%,0%,98.3%
2024-12-16 04:54:00,0.558%,0.593%,0.0114%,0.167%,0%,89.7%
2024-12-16 04:54:15,0.671%,0.671%,0.00834%,0.192%,0%,98.4%
2024-12-16 04:54:30,0.646%,0.718%,0.00380%,0.152%,0%,89.4%
2024-12-16 04:54:45,0.546%,0.642%,0.00833%,0.221%,0%,98.4%
2024-12-16 04:55:00,0.533%,0.635%,0.00761%,0.217%,0%,89.8%
2024-12-16 04:55:15,0.617%,0.613%,0.0125%,0.146%,0%,98.4%
2024-12-16 04:55:30,0.579%,0.625%,0.00417%,0.179%,0%,98.3%
2024-12-16 04:55:45,0.637%,0.812%,0.00417%,0.175%,0%,98.4%
2024-12-16 04:56:00,0.604%,0.692%,0.00417%,0.212%,0%,98.3%
2024-12-16 04:56:15,0.529%,0.708%,0.0167%,0.154%,0%,98.4%
2024-12-16 04:56:30,0.579%,0.992%,0.0125%,0.217%,0%,98.1%
2024-12-16 04:56:45,0.575%,0.638%,0.00833%,0.188%,0%,98.4%
2024-12-16 04:57:00,0.592%,0.767%,0%,0.183%,0%,98.4%
2024-12-16 04:57:15,0.592%,0.825%,0.00834%,0.267%,0%,98.2%
2024-12-16 04:57:30,0.612%,0.754%,0.00417%,0.346%,0%,98.3%
2024-12-16 04:57:45,0.496%,0.558%,0.00417%,0.158%,0%,98.6%
2024-12-16 04:58:00,0.567%,0.604%,0.0125%,0.196%,0%,98.4%
2024-12-16 04:58:15,0.528%,0.692%,0.0152%,0.156%,0%,89.7%
2024-12-16 04:58:30,0.571%,0.833%,0.00833%,0.133%,0%,98.3%
2024-12-16 04:58:45,0.516%,0.649%,0.00380%,0.137%,0%,89.7%
2024-12-16 04:59:00,0.600%,0.671%,0.00417%,0.117%,0%,98.4%
2024-12-16 04:59:15,0.581%,0.570%,0.0114%,0.281%,0%,89.7%
