"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 04:48:45,15.5 GiB,2.70 GiB,1.75 GiB,11.1 GiB,434 MiB
2024-12-16 04:49:00,15.5 GiB,2.77 GiB,700 MiB,12.1 GiB,434 MiB
2024-12-16 04:49:15,15.5 GiB,2.81 GiB,704 MiB,12.1 GiB,434 MiB
2024-12-16 04:49:30,15.5 GiB,2.85 GiB,711 MiB,12.0 GiB,434 MiB
2024-12-16 04:49:45,15.5 GiB,2.87 GiB,713 MiB,12.0 GiB,434 MiB
2024-12-16 04:50:00,15.5 GiB,2.94 GiB,719 MiB,11.9 GiB,434 MiB
2024-12-16 04:50:15,15.5 GiB,2.94 GiB,721 MiB,11.9 GiB,434 MiB
2024-12-16 04:50:30,15.5 GiB,2.97 GiB,723 MiB,11.9 GiB,434 MiB
2024-12-16 04:50:45,15.5 GiB,3.00 GiB,728 MiB,11.8 GiB,434 MiB
2024-12-16 04:51:00,15.5 GiB,3.01 GiB,730 MiB,11.8 GiB,434 MiB
2024-12-16 04:51:15,15.5 GiB,3.01 GiB,736 MiB,11.8 GiB,434 MiB
2024-12-16 04:51:30,15.5 GiB,3.09 GiB,738 MiB,11.7 GiB,434 MiB
2024-12-16 04:51:45,15.5 GiB,3.15 GiB,744 MiB,11.7 GiB,434 MiB
2024-12-16 04:52:00,15.5 GiB,3.14 GiB,747 MiB,11.7 GiB,434 MiB
2024-12-16 04:52:15,15.5 GiB,3.17 GiB,752 MiB,11.6 GiB,434 MiB
2024-12-16 04:52:30,15.5 GiB,3.21 GiB,754 MiB,11.6 GiB,434 MiB
2024-12-16 04:52:45,15.5 GiB,3.31 GiB,759 MiB,11.5 GiB,434 MiB
2024-12-16 04:53:00,15.5 GiB,3.32 GiB,761 MiB,11.5 GiB,434 MiB
2024-12-16 04:53:15,15.5 GiB,3.34 GiB,765 MiB,11.5 GiB,434 MiB
2024-12-16 04:53:30,15.5 GiB,3.35 GiB,769 MiB,11.4 GiB,434 MiB
2024-12-16 04:53:45,15.5 GiB,3.36 GiB,771 MiB,11.4 GiB,434 MiB
2024-12-16 04:54:00,15.5 GiB,3.37 GiB,777 MiB,11.4 GiB,434 MiB
2024-12-16 04:54:15,15.5 GiB,3.40 GiB,780 MiB,11.4 GiB,434 MiB
2024-12-16 04:54:30,15.5 GiB,3.48 GiB,785 MiB,11.3 GiB,434 MiB
2024-12-16 04:54:45,15.5 GiB,3.49 GiB,787 MiB,11.3 GiB,434 MiB
2024-12-16 04:55:00,15.5 GiB,3.51 GiB,793 MiB,11.3 GiB,434 MiB
2024-12-16 04:55:15,15.5 GiB,3.52 GiB,795 MiB,11.3 GiB,434 MiB
2024-12-16 04:55:30,15.5 GiB,3.54 GiB,797 MiB,11.2 GiB,434 MiB
2024-12-16 04:55:45,15.5 GiB,3.56 GiB,802 MiB,11.2 GiB,434 MiB
2024-12-16 04:56:00,15.5 GiB,3.57 GiB,805 MiB,11.2 GiB,434 MiB
2024-12-16 04:56:15,15.5 GiB,3.68 GiB,810 MiB,11.1 GiB,434 MiB
2024-12-16 04:56:30,15.5 GiB,3.74 GiB,813 MiB,11.0 GiB,434 MiB
2024-12-16 04:56:45,15.5 GiB,3.75 GiB,818 MiB,11.0 GiB,434 MiB
2024-12-16 04:57:00,15.5 GiB,3.76 GiB,821 MiB,11.0 GiB,434 MiB
2024-12-16 04:57:15,15.5 GiB,3.76 GiB,825 MiB,11.0 GiB,434 MiB
2024-12-16 04:57:30,15.5 GiB,3.77 GiB,828 MiB,11.0 GiB,434 MiB
2024-12-16 04:57:45,15.5 GiB,3.79 GiB,833 MiB,10.9 GiB,434 MiB
2024-12-16 04:58:00,15.5 GiB,3.80 GiB,836 MiB,10.9 GiB,434 MiB
2024-12-16 04:58:15,15.5 GiB,3.81 GiB,839 MiB,10.9 GiB,434 MiB
2024-12-16 04:58:30,15.5 GiB,3.83 GiB,845 MiB,10.9 GiB,434 MiB
2024-12-16 04:58:45,15.5 GiB,3.84 GiB,847 MiB,10.9 GiB,434 MiB
2024-12-16 04:59:00,15.5 GiB,3.86 GiB,852 MiB,10.9 GiB,434 MiB
2024-12-16 04:59:15,15.5 GiB,3.86 GiB,854 MiB,10.9 GiB,434 MiB
