"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 05:49:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:50:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:50:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:50:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:50:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:51:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:51:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:51:30,548 b/s,0 b/s,9.39 kb/s,0 b/s
2024-12-16 05:51:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:52:00,549 b/s,0 b/s,9.42 kb/s,0 b/s
2024-12-16 05:52:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:52:30,548 b/s,0 b/s,9.38 kb/s,0 b/s
2024-12-16 05:52:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:53:00,546 b/s,0 b/s,9.35 kb/s,0 b/s
2024-12-16 05:53:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:53:30,548 b/s,0 b/s,9.40 kb/s,0 b/s
2024-12-16 05:53:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:54:00,549 b/s,0 b/s,9.42 kb/s,0 b/s
2024-12-16 05:54:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:54:30,548 b/s,0 b/s,9.41 kb/s,0 b/s
2024-12-16 05:54:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:55:00,547 b/s,0 b/s,9.39 kb/s,0 b/s
2024-12-16 05:55:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:55:30,548 b/s,0 b/s,9.40 kb/s,0 b/s
2024-12-16 05:55:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:56:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:56:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:56:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:56:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:57:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:57:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:57:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:57:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:58:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:58:15,548 b/s,0 b/s,9.41 kb/s,0 b/s
2024-12-16 05:58:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:58:45,547 b/s,0 b/s,9.40 kb/s,0 b/s
2024-12-16 05:59:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:59:15,546 b/s,0 b/s,9.37 kb/s,0 b/s
2024-12-16 05:59:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 05:59:45,548 b/s,0 b/s,9.40 kb/s,0 b/s
2024-12-16 06:00:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
