"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 05:38:00,0.230%,0.121%,0.162%,0.0944%,0%,90.0%
2024-12-16 05:38:15,0.0958%,0.296%,0%,0.0417%,0%,99.3%
2024-12-16 05:38:30,1.16%,1.82%,0.0226%,0.381%,0%,87.2%
2024-12-16 05:38:45,1.47%,2.10%,0.00833%,0.412%,0%,95.8%
2024-12-16 05:39:00,1.40%,1.97%,0.00377%,0.385%,0%,86.6%
2024-12-16 05:39:15,1.36%,2.20%,0.00417%,0.438%,0%,95.8%
2024-12-16 05:39:30,1.26%,1.87%,0.00377%,0.385%,0%,86.7%
2024-12-16 05:39:45,1.54%,2.15%,0%,0.333%,0%,95.8%
2024-12-16 05:40:00,1.29%,2.01%,0.00754%,0.422%,0%,86.7%
2024-12-16 05:40:15,1.47%,2.20%,0.0125%,0.379%,0%,95.8%
2024-12-16 05:40:30,1.39%,1.99%,0.00377%,0.336%,0%,86.7%
2024-12-16 05:40:45,1.41%,2.34%,0%,0.450%,0%,95.8%
2024-12-16 05:41:00,1.49%,2.10%,0.00754%,0.283%,0%,86.6%
2024-12-16 05:41:15,1.51%,2.25%,0.00417%,0.400%,0%,95.8%
2024-12-16 05:41:30,1.48%,2.40%,0.00417%,0.450%,0%,95.3%
2024-12-16 05:41:45,1.39%,2.33%,0.00417%,0.371%,0%,95.8%
2024-12-16 05:42:00,1.64%,2.21%,0%,0.346%,0%,95.8%
2024-12-16 05:42:15,1.38%,2.32%,0.00833%,0.412%,0%,95.8%
2024-12-16 05:42:30,1.64%,2.43%,0.00834%,0.479%,0%,95.6%
2024-12-16 05:42:45,1.51%,2.40%,0.00417%,0.454%,0%,95.8%
2024-12-16 05:43:00,1.60%,2.27%,0.00417%,0.400%,0%,95.9%
2024-12-16 05:43:15,1.51%,2.18%,0%,0.454%,0%,95.8%
2024-12-16 05:43:30,1.40%,2.33%,0.00417%,0.342%,0%,95.7%
2024-12-16 05:43:45,1.53%,2.20%,0%,0.463%,0%,95.8%
2024-12-16 05:44:00,1.27%,2.49%,0%,0.508%,0%,95.8%
2024-12-16 05:44:15,1.28%,2.11%,0.00377%,0.290%,0%,86.8%
2024-12-16 05:44:30,1.44%,2.26%,0.00417%,0.329%,0%,95.8%
2024-12-16 05:44:45,1.34%,2.00%,0%,0.304%,0%,86.4%
2024-12-16 05:45:00,1.44%,2.26%,0.00417%,0.333%,0%,95.8%
2024-12-16 05:45:15,1.40%,1.96%,0%,0.324%,0%,86.8%
2024-12-16 05:45:30,1.48%,2.25%,0.00417%,0.446%,0%,95.8%
2024-12-16 05:45:45,1.30%,2.00%,0%,0.403%,0%,86.6%
2024-12-16 05:46:00,1.43%,2.18%,0.00417%,0.413%,0%,95.8%
2024-12-16 05:46:15,1.24%,2.05%,0.00754%,0.422%,0%,86.7%
2024-12-16 05:46:30,1.59%,2.22%,0.00417%,0.396%,0%,95.7%
2024-12-16 05:46:45,1.37%,2.08%,0.00752%,0.357%,0%,86.4%
2024-12-16 05:47:00,1.46%,2.29%,0.00417%,0.450%,0%,95.8%
2024-12-16 05:47:15,1.28%,2.09%,0%,0.445%,0%,86.7%
2024-12-16 05:47:30,1.52%,2.26%,0.00417%,0.387%,0%,95.7%
2024-12-16 05:47:45,1.36%,2.12%,0%,0.388%,0%,86.6%
2024-12-16 05:48:00,1.42%,2.26%,0.00417%,0.367%,0%,95.8%
2024-12-16 05:48:15,1.25%,2.16%,0.0113%,0.431%,0%,86.2%
2024-12-16 05:48:30,1.53%,2.12%,0%,0.483%,0%,95.7%
