"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 03:34:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:34:15,561 b/s,0 b/s,9.63 kb/s,0 b/s
2024-12-16 03:34:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:34:45,562 b/s,0 b/s,9.66 kb/s,0 b/s
2024-12-16 03:35:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:35:15,562 b/s,0 b/s,9.67 kb/s,0 b/s
2024-12-16 03:35:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:35:45,561 b/s,0 b/s,9.66 kb/s,0 b/s
2024-12-16 03:36:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:36:15,561 b/s,0 b/s,9.64 kb/s,0 b/s
2024-12-16 03:36:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:36:45,562 b/s,0 b/s,9.65 kb/s,0 b/s
2024-12-16 03:37:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:37:15,562 b/s,0 b/s,9.65 kb/s,0 b/s
2024-12-16 03:37:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:37:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:38:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:38:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:38:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:38:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:39:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:39:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:39:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:39:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:40:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:40:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:40:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:40:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:41:00,561 b/s,0 b/s,9.65 kb/s,0 b/s
2024-12-16 03:41:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:41:30,561 b/s,0 b/s,9.64 kb/s,0 b/s
2024-12-16 03:41:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:42:00,561 b/s,0 b/s,9.62 kb/s,0 b/s
2024-12-16 03:42:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:42:30,559 b/s,0 b/s,9.60 kb/s,0 b/s
2024-12-16 03:42:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:43:00,561 b/s,0 b/s,9.64 kb/s,0 b/s
2024-12-16 03:43:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:43:30,561 b/s,0 b/s,9.62 kb/s,0 b/s
2024-12-16 03:43:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 03:44:00,561 b/s,0 b/s,9.64 kb/s,0 b/s
2024-12-16 03:44:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
