"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 04:18:45,0.167%,0.254%,0.0833%,0.0417%,0%,99.4%
2024-12-16 04:19:00,0.470%,0.630%,0.0267%,0.183%,0%,90.4%
2024-12-16 04:19:15,0.983%,1.38%,0.00417%,0.317%,0%,97.4%
2024-12-16 04:19:30,0.945%,1.13%,0%,0.341%,0%,89.3%
2024-12-16 04:19:45,0.946%,1.13%,0.00417%,0.292%,0%,97.4%
2024-12-16 04:20:00,0.907%,1.03%,0.0115%,0.298%,0%,89.4%
2024-12-16 04:20:15,0.829%,1.25%,0%,0.271%,0%,97.5%
2024-12-16 04:20:30,0.964%,1.17%,0.00765%,0.310%,0%,89.5%
2024-12-16 04:20:45,0.958%,1.40%,0.00417%,0.338%,0%,97.2%
2024-12-16 04:21:00,0.805%,1.31%,0.0114%,0.275%,0%,89.0%
2024-12-16 04:21:15,0.913%,1.21%,0%,0.300%,0%,97.5%
2024-12-16 04:21:30,0.877%,1.06%,0.00383%,0.333%,0%,89.5%
2024-12-16 04:21:45,0.875%,1.34%,0.00417%,0.279%,0%,97.4%
2024-12-16 04:22:00,0.841%,1.02%,0%,0.248%,0%,89.4%
2024-12-16 04:22:15,0.884%,1.43%,0.00417%,0.263%,0%,97.2%
2024-12-16 04:22:30,0.946%,1.35%,0%,0.317%,0%,97.3%
2024-12-16 04:22:45,0.850%,1.30%,0%,0.267%,0%,97.6%
2024-12-16 04:23:00,0.942%,1.54%,0.00417%,0.304%,0%,97.2%
2024-12-16 04:23:15,0.946%,1.35%,0%,0.337%,0%,97.3%
2024-12-16 04:23:30,0.967%,1.54%,0.00417%,0.229%,0%,97.2%
2024-12-16 04:23:45,0.992%,1.33%,0%,0.267%,0%,97.3%
2024-12-16 04:24:00,1.01%,1.36%,0.00417%,0.296%,0%,97.5%
2024-12-16 04:24:15,0.971%,1.32%,0%,0.300%,0%,97.4%
2024-12-16 04:24:30,0.929%,1.38%,0.00833%,0.296%,0%,97.1%
2024-12-16 04:24:45,1.08%,1.40%,0.00417%,0.258%,0%,97.3%
2024-12-16 04:25:00,0.900%,1.27%,0%,0.283%,0%,97.5%
2024-12-16 04:25:15,0.810%,1.14%,0.00761%,0.289%,0%,88.9%
2024-12-16 04:25:30,0.854%,1.39%,0.00417%,0.246%,0%,97.4%
2024-12-16 04:25:45,0.949%,1.35%,0.00383%,0.325%,0%,89.3%
2024-12-16 04:26:00,0.966%,1.40%,0%,0.312%,0%,97.2%
2024-12-16 04:26:15,0.944%,1.22%,0%,0.245%,0%,89.4%
2024-12-16 04:26:30,0.917%,1.17%,0.00834%,0.246%,0%,97.6%
2024-12-16 04:26:45,0.897%,1.23%,0%,0.324%,0%,89.1%
2024-12-16 04:27:00,0.850%,1.36%,0%,0.296%,0%,97.4%
2024-12-16 04:27:15,0.899%,1.21%,0.00762%,0.251%,0%,89.0%
2024-12-16 04:27:30,0.921%,1.70%,0%,0.279%,0%,97.2%
2024-12-16 04:27:45,0.882%,1.06%,0%,0.298%,0%,89.4%
2024-12-16 04:28:00,0.946%,1.25%,0%,0.275%,0%,97.5%
2024-12-16 04:28:15,0.993%,1.38%,0.00382%,0.344%,0%,89.1%
2024-12-16 04:28:30,0.929%,1.41%,0%,0.238%,0%,97.4%
2024-12-16 04:28:45,0.900%,1.23%,0.00381%,0.290%,0%,89.1%
2024-12-16 04:29:00,1.02%,1.29%,0.00417%,0.308%,0%,97.4%
