"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 03:04:45,15.5 GiB,2.29 GiB,1.08 GiB,12.2 GiB,434 MiB
2024-12-16 03:05:00,15.5 GiB,2.52 GiB,1.11 GiB,11.9 GiB,434 MiB
2024-12-16 03:05:15,15.5 GiB,2.56 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 03:05:30,15.5 GiB,2.61 GiB,1.15 GiB,11.8 GiB,434 MiB
2024-12-16 03:05:45,15.5 GiB,2.60 GiB,1.17 GiB,11.8 GiB,434 MiB
2024-12-16 03:06:00,15.5 GiB,2.63 GiB,1.19 GiB,11.7 GiB,434 MiB
2024-12-16 03:06:15,15.5 GiB,2.65 GiB,1.21 GiB,11.7 GiB,434 MiB
2024-12-16 03:06:30,15.5 GiB,2.67 GiB,1.24 GiB,11.6 GiB,434 MiB
2024-12-16 03:06:45,15.5 GiB,2.66 GiB,1.25 GiB,11.6 GiB,434 MiB
2024-12-16 03:07:00,15.5 GiB,2.67 GiB,1.28 GiB,11.6 GiB,434 MiB
2024-12-16 03:07:15,15.5 GiB,2.66 GiB,1.29 GiB,11.6 GiB,434 MiB
2024-12-16 03:07:30,15.5 GiB,2.69 GiB,1.32 GiB,11.5 GiB,434 MiB
2024-12-16 03:07:45,15.5 GiB,2.69 GiB,1.33 GiB,11.5 GiB,434 MiB
2024-12-16 03:08:00,15.5 GiB,2.70 GiB,1.35 GiB,11.5 GiB,434 MiB
2024-12-16 03:08:15,15.5 GiB,2.71 GiB,1.37 GiB,11.5 GiB,434 MiB
2024-12-16 03:08:30,15.5 GiB,2.71 GiB,1.39 GiB,11.5 GiB,434 MiB
2024-12-16 03:08:45,15.5 GiB,2.73 GiB,1.41 GiB,11.4 GiB,434 MiB
2024-12-16 03:09:00,15.5 GiB,2.71 GiB,1.43 GiB,11.4 GiB,434 MiB
2024-12-16 03:09:15,15.5 GiB,2.70 GiB,1.46 GiB,11.4 GiB,434 MiB
2024-12-16 03:09:30,15.5 GiB,2.70 GiB,1.47 GiB,11.4 GiB,434 MiB
2024-12-16 03:09:45,15.5 GiB,2.73 GiB,1.49 GiB,11.3 GiB,434 MiB
2024-12-16 03:10:00,15.5 GiB,2.75 GiB,1.51 GiB,11.3 GiB,434 MiB
2024-12-16 03:10:15,15.5 GiB,2.75 GiB,1.54 GiB,11.3 GiB,434 MiB
2024-12-16 03:10:30,15.5 GiB,2.76 GiB,1.55 GiB,11.2 GiB,434 MiB
2024-12-16 03:10:45,15.5 GiB,2.76 GiB,1.58 GiB,11.2 GiB,434 MiB
2024-12-16 03:11:00,15.5 GiB,2.76 GiB,1.59 GiB,11.2 GiB,434 MiB
2024-12-16 03:11:15,15.5 GiB,2.79 GiB,1.62 GiB,11.1 GiB,434 MiB
2024-12-16 03:11:30,15.5 GiB,2.81 GiB,1.63 GiB,11.1 GiB,434 MiB
2024-12-16 03:11:45,15.5 GiB,2.80 GiB,1.64 GiB,11.1 GiB,434 MiB
2024-12-16 03:12:00,15.5 GiB,2.81 GiB,1.67 GiB,11.1 GiB,434 MiB
2024-12-16 03:12:15,15.5 GiB,2.78 GiB,1.69 GiB,11.1 GiB,434 MiB
2024-12-16 03:12:30,15.5 GiB,2.77 GiB,1.71 GiB,11.1 GiB,434 MiB
2024-12-16 03:12:45,15.5 GiB,2.78 GiB,1.73 GiB,11.0 GiB,434 MiB
2024-12-16 03:13:00,15.5 GiB,2.81 GiB,1.76 GiB,11.0 GiB,434 MiB
2024-12-16 03:13:15,15.5 GiB,2.79 GiB,1.77 GiB,11.0 GiB,434 MiB
2024-12-16 03:13:30,15.5 GiB,2.83 GiB,1.80 GiB,10.9 GiB,434 MiB
2024-12-16 03:13:45,15.5 GiB,2.84 GiB,1.81 GiB,10.9 GiB,434 MiB
2024-12-16 03:14:00,15.5 GiB,2.81 GiB,1.84 GiB,10.9 GiB,434 MiB
2024-12-16 03:14:15,15.5 GiB,2.84 GiB,1.85 GiB,10.9 GiB,434 MiB
2024-12-16 03:14:30,15.5 GiB,2.85 GiB,1.88 GiB,10.8 GiB,434 MiB
2024-12-16 03:14:45,15.5 GiB,2.86 GiB,1.89 GiB,10.8 GiB,434 MiB
2024-12-16 03:15:00,15.5 GiB,2.85 GiB,1.92 GiB,10.8 GiB,434 MiB
