"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 02:26:30,0.179%,0.292%,0.00417%,0.0542%,0%,88.3%
2024-12-16 02:26:45,0.0824%,0.310%,0%,0.0314%,0%,93.4%
2024-12-16 02:27:00,0.646%,0.713%,0.0125%,0.163%,0%,98.4%
2024-12-16 02:27:15,0.590%,0.883%,0.00814%,0.155%,0%,95.9%
2024-12-16 02:27:30,0.592%,0.796%,0.00417%,0.187%,0%,98.2%
2024-12-16 02:27:45,0.555%,0.804%,0%,0.135%,0%,96.3%
2024-12-16 02:28:00,0.646%,0.817%,0.00417%,0.200%,0%,98.2%
2024-12-16 02:28:15,0.537%,0.820%,0.0118%,0.161%,0%,92.5%
2024-12-16 02:28:30,0.637%,0.754%,0%,0.129%,0%,98.2%
2024-12-16 02:28:45,0.551%,0.796%,0.00408%,0.135%,0%,96.2%
2024-12-16 02:29:00,0.675%,0.808%,0%,0.158%,0%,98.1%
2024-12-16 02:29:15,0.624%,0.942%,0.00408%,0.220%,0%,95.9%
2024-12-16 02:29:30,0.650%,0.734%,0.00417%,0.217%,0%,98.2%
2024-12-16 02:29:45,0.483%,0.742%,0%,0.196%,0%,92.5%
2024-12-16 02:30:00,0.654%,0.838%,0%,0.217%,0%,98.2%
2024-12-16 02:30:15,0.661%,0.820%,0.00408%,0.135%,0%,96.1%
2024-12-16 02:30:30,0.667%,0.775%,0%,0.179%,0%,98.1%
2024-12-16 02:30:45,0.607%,0.835%,0.00407%,0.114%,0%,96.1%
2024-12-16 02:31:00,0.642%,0.746%,0.00417%,0.225%,0%,98.2%
2024-12-16 02:31:15,0.694%,0.765%,0%,0.200%,0%,92.3%
2024-12-16 02:31:30,0.588%,0.833%,0%,0.121%,0%,98.2%
2024-12-16 02:31:45,0.665%,0.731%,0.00391%,0.137%,0%,92.2%
2024-12-16 02:32:00,0.691%,0.812%,0.00417%,0.162%,0%,98.1%
2024-12-16 02:32:15,0.663%,0.843%,0.00392%,0.231%,0%,92.2%
2024-12-16 02:32:30,0.604%,0.908%,0.00417%,0.167%,0%,98.2%
2024-12-16 02:32:45,0.616%,0.829%,0%,0.204%,0%,92.6%
2024-12-16 02:33:00,0.688%,0.804%,0%,0.188%,0%,98.3%
2024-12-16 02:33:15,0.663%,0.898%,0.00392%,0.129%,0%,92.3%
2024-12-16 02:33:30,0.671%,0.875%,0%,0.204%,0%,98.2%
2024-12-16 02:33:45,0.600%,0.706%,0%,0.137%,0%,92.5%
2024-12-16 02:34:00,0.608%,0.950%,0.00417%,0.150%,0%,98.2%
2024-12-16 02:34:15,0.638%,0.968%,0%,0.133%,0%,92.2%
2024-12-16 02:34:30,0.517%,0.754%,0%,0.167%,0%,98.2%
2024-12-16 02:34:45,0.581%,0.828%,0.00393%,0.122%,0%,92.4%
2024-12-16 02:35:00,0.675%,0.683%,0%,0.129%,0%,98.3%
2024-12-16 02:35:15,0.509%,0.803%,0%,0.137%,0%,92.5%
2024-12-16 02:35:30,0.617%,0.850%,0.00417%,0.179%,0%,98.1%
2024-12-16 02:35:45,0.571%,0.712%,0.00417%,0.154%,0%,98.3%
2024-12-16 02:36:00,0.641%,0.800%,0.00417%,0.171%,0%,98.2%
2024-12-16 02:36:15,0.771%,1.03%,0.00417%,0.204%,0%,98.0%
2024-12-16 02:36:30,0.671%,0.925%,0%,0.213%,0%,98.1%
2024-12-16 02:36:45,0.650%,0.883%,0.00417%,0.150%,0%,98.2%
2024-12-16 02:37:00,0.596%,0.859%,0%,0.204%,0%,98.2%
