"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 02:26:30,15.5 GiB,3.95 GiB,2.88 GiB,8.71 GiB,434 MiB
2024-12-16 02:26:45,15.5 GiB,3.96 GiB,2.88 GiB,8.71 GiB,434 MiB
2024-12-16 02:27:00,15.5 GiB,4.18 GiB,2.89 GiB,8.47 GiB,434 MiB
2024-12-16 02:27:15,15.5 GiB,4.23 GiB,2.90 GiB,8.42 GiB,434 MiB
2024-12-16 02:27:30,15.5 GiB,4.29 GiB,2.90 GiB,8.36 GiB,434 MiB
2024-12-16 02:27:45,15.5 GiB,4.32 GiB,2.90 GiB,8.33 GiB,434 MiB
2024-12-16 02:28:00,15.5 GiB,4.36 GiB,2.90 GiB,8.28 GiB,434 MiB
2024-12-16 02:28:15,15.5 GiB,4.40 GiB,2.90 GiB,8.25 GiB,434 MiB
2024-12-16 02:28:30,15.5 GiB,4.44 GiB,2.90 GiB,8.21 GiB,434 MiB
2024-12-16 02:28:45,15.5 GiB,4.47 GiB,2.90 GiB,8.18 GiB,434 MiB
2024-12-16 02:29:00,15.5 GiB,4.52 GiB,2.90 GiB,8.12 GiB,434 MiB
2024-12-16 02:29:15,15.5 GiB,4.57 GiB,2.90 GiB,8.08 GiB,434 MiB
2024-12-16 02:29:30,15.5 GiB,4.62 GiB,2.90 GiB,8.03 GiB,434 MiB
2024-12-16 02:29:45,15.5 GiB,4.64 GiB,2.90 GiB,8.00 GiB,434 MiB
2024-12-16 02:30:00,15.5 GiB,4.69 GiB,2.90 GiB,7.96 GiB,434 MiB
2024-12-16 02:30:15,15.5 GiB,4.73 GiB,2.90 GiB,7.92 GiB,434 MiB
2024-12-16 02:30:30,15.5 GiB,4.78 GiB,2.90 GiB,7.86 GiB,434 MiB
2024-12-16 02:30:45,15.5 GiB,4.80 GiB,2.90 GiB,7.84 GiB,434 MiB
2024-12-16 02:31:00,15.5 GiB,4.85 GiB,2.90 GiB,7.79 GiB,434 MiB
2024-12-16 02:31:15,15.5 GiB,4.89 GiB,2.90 GiB,7.76 GiB,434 MiB
2024-12-16 02:31:30,15.5 GiB,4.94 GiB,2.90 GiB,7.71 GiB,434 MiB
2024-12-16 02:31:45,15.5 GiB,4.96 GiB,2.91 GiB,7.68 GiB,434 MiB
2024-12-16 02:32:00,15.5 GiB,5.00 GiB,2.91 GiB,7.65 GiB,434 MiB
2024-12-16 02:32:15,15.5 GiB,5.06 GiB,2.91 GiB,7.58 GiB,434 MiB
2024-12-16 02:32:30,15.5 GiB,5.10 GiB,2.91 GiB,7.54 GiB,434 MiB
2024-12-16 02:32:45,15.5 GiB,5.16 GiB,2.91 GiB,7.48 GiB,434 MiB
2024-12-16 02:33:00,15.5 GiB,5.18 GiB,2.91 GiB,7.46 GiB,434 MiB
2024-12-16 02:33:15,15.5 GiB,5.24 GiB,2.91 GiB,7.41 GiB,434 MiB
2024-12-16 02:33:30,15.5 GiB,5.26 GiB,2.91 GiB,7.38 GiB,434 MiB
2024-12-16 02:33:45,15.5 GiB,5.32 GiB,2.91 GiB,7.33 GiB,434 MiB
2024-12-16 02:34:00,15.5 GiB,5.34 GiB,2.91 GiB,7.30 GiB,434 MiB
2024-12-16 02:34:15,15.5 GiB,5.42 GiB,2.91 GiB,7.22 GiB,434 MiB
2024-12-16 02:34:30,15.5 GiB,5.45 GiB,2.91 GiB,7.20 GiB,434 MiB
2024-12-16 02:34:45,15.5 GiB,5.50 GiB,2.91 GiB,7.14 GiB,434 MiB
2024-12-16 02:35:00,15.5 GiB,5.53 GiB,2.91 GiB,7.11 GiB,434 MiB
2024-12-16 02:35:15,15.5 GiB,5.58 GiB,2.91 GiB,7.06 GiB,434 MiB
2024-12-16 02:35:30,15.5 GiB,5.61 GiB,2.91 GiB,7.03 GiB,434 MiB
2024-12-16 02:35:45,15.5 GiB,5.65 GiB,2.91 GiB,7.00 GiB,434 MiB
2024-12-16 02:36:00,15.5 GiB,5.70 GiB,2.91 GiB,6.94 GiB,434 MiB
2024-12-16 02:36:15,15.5 GiB,5.74 GiB,2.91 GiB,6.90 GiB,434 MiB
2024-12-16 02:36:30,15.5 GiB,5.79 GiB,2.91 GiB,6.85 GiB,434 MiB
2024-12-16 02:36:45,15.5 GiB,5.81 GiB,2.91 GiB,6.83 GiB,434 MiB
2024-12-16 02:37:00,15.5 GiB,5.87 GiB,2.91 GiB,6.77 GiB,434 MiB
