"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 01:16:45,0.137%,0.208%,0.00417%,0.0208%,0%,99.5%
2024-12-16 01:17:00,0.463%,0.770%,0.0657%,0.0693%,0%,86.2%
2024-12-16 01:17:15,0.729%,1.97%,0.0125%,0.183%,0%,97.1%
2024-12-16 01:17:30,0.675%,1.19%,0.00365%,0.252%,0%,85.3%
2024-12-16 01:17:45,0.529%,1.55%,0.00833%,0.275%,0%,97.6%
2024-12-16 01:18:00,0.587%,1.02%,0.0109%,0.190%,0%,85.6%
2024-12-16 01:18:15,0.692%,1.30%,0%,0.188%,0%,98.0%
2024-12-16 01:18:30,0.700%,1.09%,0.00365%,0.157%,0%,85.4%
2024-12-16 01:18:45,0.733%,1.29%,0.00417%,0.317%,0%,97.8%
2024-12-16 01:19:00,0.646%,0.975%,0.0125%,0.167%,0%,97.9%
2024-12-16 01:19:15,0.688%,1.29%,0.00417%,0.196%,0%,97.7%
2024-12-16 01:19:30,0.842%,1.13%,0.00417%,0.167%,0%,97.7%
2024-12-16 01:19:45,0.775%,1.30%,0.00417%,0.283%,0%,97.7%
2024-12-16 01:20:00,0.875%,1.39%,0.00833%,0.250%,0%,97.4%
2024-12-16 01:20:15,0.738%,1.19%,0.00833%,0.163%,0%,97.8%
2024-12-16 01:20:30,0.725%,1.30%,0.00417%,0.133%,0%,97.8%
2024-12-16 01:20:45,0.512%,1.12%,0.00833%,0.200%,0%,98.0%
2024-12-16 01:21:00,0.725%,1.46%,0.00417%,0.204%,0%,97.6%
2024-12-16 01:21:15,0.773%,1.03%,0.0182%,0.201%,0%,85.5%
2024-12-16 01:21:30,0.825%,1.17%,0.00833%,0.308%,0%,97.6%
2024-12-16 01:21:45,0.655%,1.07%,0%,0.222%,0%,85.4%
2024-12-16 01:22:00,0.863%,1.40%,0%,0.146%,0%,97.5%
2024-12-16 01:22:15,0.706%,1.13%,0.0145%,0.171%,0%,85.3%
2024-12-16 01:22:30,0.750%,1.29%,0.00833%,0.242%,0%,97.7%
2024-12-16 01:22:45,0.660%,1.03%,0.00364%,0.168%,0%,85.5%
2024-12-16 01:23:00,0.762%,1.44%,0.00417%,0.200%,0%,97.5%
2024-12-16 01:23:15,0.638%,0.991%,0.0291%,0.179%,0%,85.4%
2024-12-16 01:23:30,0.696%,1.48%,0%,0.262%,0%,97.7%
2024-12-16 01:23:45,0.622%,1.06%,0.00364%,0.182%,0%,85.5%
2024-12-16 01:24:00,0.771%,1.22%,0.00833%,0.183%,0%,97.8%
2024-12-16 01:24:15,0.848%,1.01%,0.00364%,0.197%,0%,85.2%
2024-12-16 01:24:30,0.708%,1.26%,0.0125%,0.175%,0%,97.8%
2024-12-16 01:24:45,0.825%,1.37%,0.00417%,0.246%,0%,97.7%
2024-12-16 01:25:00,0.767%,1.10%,0%,0.221%,0%,97.6%
2024-12-16 01:25:15,0.900%,1.23%,0.0250%,0.300%,0%,97.8%
2024-12-16 01:25:30,0.762%,1.17%,0.00833%,0.304%,0%,97.8%
2024-12-16 01:25:45,0.696%,1.26%,0%,0.308%,0%,97.8%
2024-12-16 01:26:00,0.771%,1.19%,0.00417%,0.296%,0%,97.6%
2024-12-16 01:26:15,0.746%,1.26%,0.00417%,0.288%,0%,97.7%
2024-12-16 01:26:30,0.618%,1.02%,0.00364%,0.254%,0%,85.2%
2024-12-16 01:26:45,0.808%,1.10%,0.00417%,0.254%,0%,97.6%
2024-12-16 01:27:00,0.697%,1.16%,0.00727%,0.185%,0%,85.1%
