"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 11:00:15,0.559%,0.587%,0.146%,0.170%,0%,95.9%
2024-12-16 11:00:30,0.154%,0.187%,0%,0.0583%,0%,99.5%
2024-12-16 11:00:45,1.09%,1.26%,0.0365%,0.369%,0%,94.7%
2024-12-16 11:01:00,1.13%,1.78%,0.00417%,0.412%,0%,96.8%
2024-12-16 11:01:15,0.834%,1.28%,0%,0.251%,0%,94.5%
2024-12-16 11:01:30,0.933%,1.45%,0.00417%,0.242%,0%,97.3%
2024-12-16 11:01:45,0.939%,1.62%,0%,0.328%,0%,94.2%
2024-12-16 11:02:00,1.18%,1.57%,0%,0.271%,0%,96.9%
2024-12-16 11:02:15,1.10%,1.43%,0%,0.320%,0%,94.2%
2024-12-16 11:02:30,1.01%,1.61%,0.00417%,0.325%,0%,96.9%
2024-12-16 11:02:45,1.01%,1.30%,0.0528%,0.304%,0%,94.7%
2024-12-16 11:03:00,1.05%,1.51%,0.00833%,0.342%,0%,97.0%
2024-12-16 11:03:15,0.966%,1.36%,0.00406%,0.308%,0%,94.7%
2024-12-16 11:03:30,0.934%,1.34%,0%,0.267%,0%,97.4%
2024-12-16 11:03:45,0.990%,1.59%,0.00406%,0.316%,0%,94.3%
2024-12-16 11:04:00,1.05%,1.61%,0%,0.271%,0%,96.9%
2024-12-16 11:04:15,0.896%,1.29%,0.00811%,0.276%,0%,94.6%
2024-12-16 11:04:30,1.03%,1.53%,0.00417%,0.288%,0%,97.0%
2024-12-16 11:04:45,0.965%,1.35%,0.0324%,0.259%,0%,94.7%
2024-12-16 11:05:00,1.02%,1.45%,0%,0.321%,0%,97.1%
2024-12-16 11:05:15,1.07%,1.68%,0.00811%,0.260%,0%,94.5%
2024-12-16 11:05:30,1.09%,1.45%,0%,0.375%,0%,97.2%
2024-12-16 11:05:45,1.10%,1.41%,0.0122%,0.308%,0%,94.4%
2024-12-16 11:06:00,1.08%,1.69%,0%,0.375%,0%,96.7%
2024-12-16 11:06:15,0.840%,1.29%,0.0122%,0.272%,0%,94.7%
2024-12-16 11:06:30,1.00%,1.28%,0.00833%,0.333%,0%,97.3%
2024-12-16 11:06:45,1.03%,1.39%,0.0365%,0.248%,0%,94.5%
2024-12-16 11:07:00,1.11%,1.56%,0.00833%,0.375%,0%,96.9%
2024-12-16 11:07:15,1.05%,1.53%,0%,0.333%,0%,94.4%
2024-12-16 11:07:30,1.02%,1.35%,0%,0.296%,0%,97.1%
2024-12-16 11:07:45,1.03%,1.59%,0.00407%,0.382%,0%,94.6%
2024-12-16 11:08:00,0.983%,1.45%,0%,0.242%,0%,97.1%
2024-12-16 11:08:15,0.995%,1.40%,0.0122%,0.268%,0%,94.7%
2024-12-16 11:08:30,1.08%,1.59%,0.00833%,0.363%,0%,96.9%
2024-12-16 11:08:45,1.02%,1.48%,0.0568%,0.305%,0%,94.5%
2024-12-16 11:09:00,1.07%,1.74%,0%,0.425%,0%,96.7%
2024-12-16 11:09:15,0.955%,1.54%,0.00406%,0.358%,0%,94.7%
2024-12-16 11:09:30,0.954%,1.42%,0%,0.304%,0%,97.2%
2024-12-16 11:09:45,1.07%,1.52%,0%,0.329%,0%,94.5%
2024-12-16 11:10:00,1.13%,1.35%,0.00417%,0.334%,0%,97.3%
2024-12-16 11:10:15,1.00%,1.61%,0.00407%,0.260%,0%,94.6%
2024-12-16 11:10:30,0.971%,1.57%,0.00833%,0.342%,0%,96.9%
2024-12-16 11:10:45,0.983%,1.40%,0.0244%,0.337%,0%,94.6%
