"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 11:00:15,590 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:00:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:00:45,590 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:01:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:01:15,590 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:01:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:01:45,590 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:02:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:02:15,590 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:02:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:02:45,591 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:03:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:03:15,591 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:03:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:03:45,591 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:04:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:04:15,591 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:04:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:04:45,591 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:05:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:05:15,591 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:05:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:05:45,591 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:06:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:06:15,591 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:06:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:06:45,592 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:07:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:07:15,592 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:07:30,608 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:07:45,593 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:08:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:08:15,592 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:08:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:08:45,592 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:09:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:09:15,592 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 11:09:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:09:45,592 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:10:00,608 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:10:15,593 b/s,0 b/s,10.2 kb/s,0 b/s
2024-12-16 11:10:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 11:10:45,592 b/s,0 b/s,10.2 kb/s,0 b/s
