"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 10:44:00,0.460%,0.303%,0.101%,0.0605%,0%,95.9%
2024-12-16 10:44:15,0.121%,0.196%,0.00833%,0.0417%,0%,99.5%
2024-12-16 10:44:30,1.50%,2.44%,0%,0.467%,0%,91.5%
2024-12-16 10:44:45,1.56%,2.37%,0.00833%,0.450%,0%,95.4%
2024-12-16 10:45:00,1.47%,2.48%,0.0120%,0.453%,0%,91.8%
2024-12-16 10:45:15,1.50%,2.46%,0.00417%,0.438%,0%,95.3%
2024-12-16 10:45:30,1.38%,2.22%,0.0160%,0.385%,0%,91.9%
2024-12-16 10:45:45,1.42%,2.33%,0%,0.396%,0%,95.3%
2024-12-16 10:46:00,1.66%,2.38%,0.0121%,0.351%,0%,92.5%
2024-12-16 10:46:15,1.55%,2.81%,0.00834%,0.421%,0%,95.3%
2024-12-16 10:46:30,1.35%,2.20%,0.00401%,0.465%,0%,91.8%
2024-12-16 10:46:45,1.65%,2.56%,0%,0.467%,0%,95.3%
2024-12-16 10:47:00,1.37%,2.23%,0.00403%,0.351%,0%,92.3%
2024-12-16 10:47:15,1.59%,2.76%,0.00833%,0.400%,0%,95.3%
2024-12-16 10:47:30,1.41%,2.48%,0.00805%,0.354%,0%,92.1%
2024-12-16 10:47:45,1.44%,2.39%,0%,0.367%,0%,95.3%
2024-12-16 10:48:00,1.56%,2.38%,0.00809%,0.364%,0%,92.7%
2024-12-16 10:48:15,1.47%,2.44%,0.00417%,0.450%,0%,95.3%
2024-12-16 10:48:30,1.37%,2.51%,0.00402%,0.414%,0%,92.1%
2024-12-16 10:48:45,1.60%,2.42%,0.0667%,0.379%,0%,95.2%
2024-12-16 10:49:00,1.51%,2.30%,0%,0.374%,0%,92.1%
2024-12-16 10:49:15,1.50%,2.30%,0.00417%,0.446%,0%,95.3%
2024-12-16 10:49:30,1.38%,2.43%,0.00402%,0.402%,0%,92.1%
2024-12-16 10:49:45,1.47%,2.57%,0.00417%,0.533%,0%,95.3%
2024-12-16 10:50:00,1.63%,2.43%,0%,0.500%,0%,95.3%
2024-12-16 10:50:15,1.58%,2.61%,0.00417%,0.488%,0%,95.2%
2024-12-16 10:50:30,1.52%,2.64%,0.00833%,0.404%,0%,95.5%
2024-12-16 10:50:45,1.42%,2.51%,0%,0.529%,0%,95.3%
2024-12-16 10:51:00,1.47%,2.40%,0.00833%,0.417%,0%,95.4%
2024-12-16 10:51:15,1.46%,2.43%,0.00417%,0.417%,0%,95.3%
2024-12-16 10:51:30,1.45%,2.40%,0.00417%,0.479%,0%,95.4%
2024-12-16 10:51:45,1.54%,2.45%,0.00833%,0.475%,0%,95.3%
2024-12-16 10:52:00,1.50%,2.41%,0.00417%,0.408%,0%,95.4%
2024-12-16 10:52:15,1.50%,2.55%,0.00417%,0.404%,0%,95.3%
2024-12-16 10:52:30,1.43%,2.45%,0%,0.492%,0%,95.4%
2024-12-16 10:52:45,1.48%,2.49%,0.00417%,0.492%,0%,95.3%
2024-12-16 10:53:00,1.47%,2.30%,0.00833%,0.450%,0%,95.4%
2024-12-16 10:53:15,1.39%,2.53%,0.00834%,0.392%,0%,95.3%
2024-12-16 10:53:30,1.51%,2.33%,0.00417%,0.379%,0%,95.4%
2024-12-16 10:53:45,1.41%,2.43%,0.00833%,0.554%,0%,95.3%
2024-12-16 10:54:00,1.50%,2.32%,0.00417%,0.533%,0%,95.3%
2024-12-16 10:54:15,1.59%,2.42%,0.00417%,0.408%,0%,95.3%
