"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 10:44:00,588 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:44:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:44:30,582 b/s,0 b/s,9.99 kb/s,0 b/s
2024-12-16 10:44:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:45:00,584 b/s,0 b/s,10.0 kb/s,0 b/s
2024-12-16 10:45:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:45:30,585 b/s,0 b/s,10.0 kb/s,0 b/s
2024-12-16 10:45:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:46:00,588 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:46:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:46:30,584 b/s,0 b/s,10.0 kb/s,0 b/s
2024-12-16 10:46:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:47:00,588 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:47:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:47:30,587 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:47:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:48:00,590 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:48:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:48:30,586 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:48:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:49:00,586 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:49:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:49:30,586 b/s,0 b/s,10.1 kb/s,0 b/s
2024-12-16 10:49:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:50:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:50:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:50:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:50:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:51:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:51:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:51:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:51:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:52:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:52:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:52:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:52:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:53:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:53:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:53:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:53:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:54:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 10:54:15,607 b/s,0 b/s,10.5 kb/s,0 b/s
