"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 01:33:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:33:45,527 b/s,0 b/s,9.02 kb/s,0 b/s
2024-12-16 01:34:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:34:15,530 b/s,0 b/s,9.07 kb/s,0 b/s
2024-12-16 01:34:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:34:45,530 b/s,0 b/s,9.06 kb/s,0 b/s
2024-12-16 01:35:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:35:15,526 b/s,0 b/s,9.01 kb/s,0 b/s
2024-12-16 01:35:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:35:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:36:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:36:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:36:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:36:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:37:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:37:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:37:30,527 b/s,0 b/s,9.02 kb/s,0 b/s
2024-12-16 01:37:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:38:00,525 b/s,0 b/s,8.98 kb/s,0 b/s
2024-12-16 01:38:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:38:30,529 b/s,0 b/s,9.07 kb/s,0 b/s
2024-12-16 01:38:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:39:00,529 b/s,0 b/s,9.07 kb/s,0 b/s
2024-12-16 01:39:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:39:30,527 b/s,0 b/s,9.01 kb/s,0 b/s
2024-12-16 01:39:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:40:00,526 b/s,0 b/s,9.01 kb/s,0 b/s
2024-12-16 01:40:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:40:30,529 b/s,0 b/s,9.06 kb/s,0 b/s
2024-12-16 01:40:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:41:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:41:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:41:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:41:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:42:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:42:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:42:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:42:45,529 b/s,0 b/s,9.07 kb/s,0 b/s
2024-12-16 01:43:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:43:15,529 b/s,0 b/s,9.04 kb/s,0 b/s
2024-12-16 01:43:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 01:43:45,527 b/s,0 b/s,9.04 kb/s,0 b/s
2024-12-16 01:44:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
