"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 16:00:45,15.5 GiB,2.01 GiB,4.27 GiB,9.27 GiB,471 MiB
2024-12-15 16:01:00,15.5 GiB,2.11 GiB,4.28 GiB,9.17 GiB,471 MiB
2024-12-15 16:01:15,15.5 GiB,2.29 GiB,4.29 GiB,8.97 GiB,471 MiB
2024-12-15 16:01:30,15.5 GiB,2.31 GiB,4.44 GiB,8.81 GiB,471 MiB
2024-12-15 16:01:45,15.5 GiB,2.35 GiB,4.46 GiB,8.74 GiB,471 MiB
2024-12-15 16:02:00,15.5 GiB,2.34 GiB,4.47 GiB,8.74 GiB,471 MiB
2024-12-15 16:02:15,15.5 GiB,2.37 GiB,4.49 GiB,8.69 GiB,471 MiB
2024-12-15 16:02:30,15.5 GiB,2.37 GiB,4.50 GiB,8.67 GiB,471 MiB
2024-12-15 16:02:45,15.5 GiB,2.40 GiB,4.52 GiB,8.62 GiB,471 MiB
2024-12-15 16:03:00,15.5 GiB,2.42 GiB,4.54 GiB,8.59 GiB,471 MiB
2024-12-15 16:03:15,15.5 GiB,2.44 GiB,4.56 GiB,8.55 GiB,471 MiB
2024-12-15 16:03:30,15.5 GiB,2.46 GiB,4.57 GiB,8.52 GiB,471 MiB
2024-12-15 16:03:45,15.5 GiB,2.47 GiB,4.58 GiB,8.50 GiB,471 MiB
2024-12-15 16:04:00,15.5 GiB,2.48 GiB,4.60 GiB,8.47 GiB,471 MiB
2024-12-15 16:04:15,15.5 GiB,2.49 GiB,4.61 GiB,8.45 GiB,471 MiB
2024-12-15 16:04:30,15.5 GiB,2.52 GiB,4.64 GiB,8.39 GiB,471 MiB
2024-12-15 16:04:45,15.5 GiB,2.52 GiB,4.65 GiB,8.38 GiB,471 MiB
2024-12-15 16:05:00,15.5 GiB,2.54 GiB,4.67 GiB,8.34 GiB,471 MiB
2024-12-15 16:05:15,15.5 GiB,2.54 GiB,4.68 GiB,8.32 GiB,471 MiB
2024-12-15 16:05:30,15.5 GiB,2.56 GiB,4.69 GiB,8.30 GiB,471 MiB
2024-12-15 16:05:45,15.5 GiB,2.58 GiB,4.71 GiB,8.25 GiB,471 MiB
2024-12-15 16:06:00,15.5 GiB,2.59 GiB,4.72 GiB,8.24 GiB,471 MiB
2024-12-15 16:06:15,15.5 GiB,2.61 GiB,4.75 GiB,8.19 GiB,471 MiB
2024-12-15 16:06:30,15.5 GiB,2.62 GiB,4.76 GiB,8.17 GiB,471 MiB
2024-12-15 16:06:45,15.5 GiB,2.64 GiB,4.78 GiB,8.13 GiB,471 MiB
2024-12-15 16:07:00,15.5 GiB,2.65 GiB,4.79 GiB,8.11 GiB,471 MiB
2024-12-15 16:07:15,15.5 GiB,2.66 GiB,4.80 GiB,8.09 GiB,471 MiB
2024-12-15 16:07:30,15.5 GiB,2.69 GiB,4.82 GiB,8.04 GiB,471 MiB
2024-12-15 16:07:45,15.5 GiB,2.70 GiB,4.83 GiB,8.01 GiB,471 MiB
2024-12-15 16:08:00,15.5 GiB,2.70 GiB,4.86 GiB,7.99 GiB,471 MiB
2024-12-15 16:08:15,15.5 GiB,2.71 GiB,4.87 GiB,7.97 GiB,471 MiB
2024-12-15 16:08:30,15.5 GiB,2.74 GiB,4.89 GiB,7.92 GiB,471 MiB
2024-12-15 16:08:45,15.5 GiB,2.75 GiB,4.90 GiB,7.90 GiB,471 MiB
2024-12-15 16:09:00,15.5 GiB,3.01 GiB,4.92 GiB,7.61 GiB,456 MiB
2024-12-15 16:09:15,15.5 GiB,2.93 GiB,4.93 GiB,7.69 GiB,456 MiB
2024-12-15 16:09:30,15.5 GiB,2.93 GiB,4.95 GiB,7.68 GiB,456 MiB
2024-12-15 16:09:45,15.5 GiB,2.96 GiB,4.97 GiB,7.62 GiB,456 MiB
2024-12-15 16:10:00,15.5 GiB,2.96 GiB,4.98 GiB,7.61 GiB,456 MiB
2024-12-15 16:10:15,15.5 GiB,2.98 GiB,5.00 GiB,7.57 GiB,456 MiB
2024-12-15 16:10:30,15.5 GiB,2.99 GiB,5.01 GiB,7.55 GiB,456 MiB
2024-12-15 16:10:45,15.5 GiB,3.02 GiB,5.03 GiB,7.50 GiB,456 MiB
2024-12-15 16:11:00,15.5 GiB,3.02 GiB,5.05 GiB,7.48 GiB,456 MiB
2024-12-15 16:11:15,15.5 GiB,3.03 GiB,5.06 GiB,7.46 GiB,456 MiB
