"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 00:48:00,572 b/s,0 b/s,9.81 kb/s,0 b/s
2024-12-16 00:48:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:48:30,537 b/s,0 b/s,9.21 kb/s,0 b/s
2024-12-16 00:48:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:49:00,551 b/s,0 b/s,9.46 kb/s,0 b/s
2024-12-16 00:49:15,565 b/s,0 b/s,9.68 kb/s,0 b/s
2024-12-16 00:49:30,565 b/s,0 b/s,9.69 kb/s,0 b/s
2024-12-16 00:49:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:50:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:50:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:50:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:50:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:51:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:51:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:51:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:51:45,538 b/s,0 b/s,9.24 kb/s,0 b/s
2024-12-16 00:52:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:52:15,535 b/s,0 b/s,9.19 kb/s,0 b/s
2024-12-16 00:52:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:52:45,535 b/s,0 b/s,9.17 kb/s,0 b/s
2024-12-16 00:53:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:53:15,536 b/s,0 b/s,9.20 kb/s,0 b/s
2024-12-16 00:53:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:53:45,537 b/s,0 b/s,9.23 kb/s,0 b/s
2024-12-16 00:54:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:54:15,535 b/s,0 b/s,9.19 kb/s,0 b/s
2024-12-16 00:54:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:54:45,535 b/s,0 b/s,9.17 kb/s,0 b/s
2024-12-16 00:55:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:55:15,536 b/s,0 b/s,9.19 kb/s,0 b/s
2024-12-16 00:55:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:55:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:56:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:56:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:56:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:56:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:57:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:57:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:57:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:57:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:58:00,535 b/s,0 b/s,9.18 kb/s,0 b/s
2024-12-16 00:58:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
