"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 00:34:15,0.0792%,0.125%,0.0125%,0.0250%,0%,99.6%
2024-12-16 00:34:30,0.0990%,0.0953%,0.0183%,0.0330%,0%,87.7%
2024-12-16 00:34:45,0.779%,0.963%,0.00833%,0.221%,0%,98.0%
2024-12-16 00:35:00,0.494%,0.758%,0%,0.172%,0%,86.3%
2024-12-16 00:35:15,0.475%,0.737%,0%,0.183%,0%,98.5%
2024-12-16 00:35:30,0.542%,0.560%,0.00366%,0.157%,0%,86.5%
2024-12-16 00:35:45,0.542%,0.708%,0.00833%,0.158%,0%,98.3%
2024-12-16 00:36:00,0.457%,0.526%,0%,0.113%,0%,86.5%
2024-12-16 00:36:15,0.462%,0.721%,0%,0.133%,0%,98.5%
2024-12-16 00:36:30,0.461%,0.589%,0%,0.121%,0%,86.6%
2024-12-16 00:36:45,0.529%,0.700%,0%,0.142%,0%,98.6%
2024-12-16 00:37:00,0.380%,0.607%,0.00366%,0.0695%,0%,86.5%
2024-12-16 00:37:15,0.513%,0.779%,0%,0.192%,0%,98.5%
2024-12-16 00:37:30,0.442%,0.527%,0.00366%,0.143%,0%,86.6%
2024-12-16 00:37:45,0.433%,0.638%,0%,0.108%,0%,98.7%
2024-12-16 00:38:00,0.475%,0.837%,0%,0.154%,0%,98.4%
2024-12-16 00:38:15,0.421%,0.637%,0.00833%,0.162%,0%,98.6%
2024-12-16 00:38:30,0.425%,0.725%,0%,0.163%,0%,98.7%
2024-12-16 00:38:45,0.438%,0.838%,0%,0.163%,0%,98.5%
2024-12-16 00:39:00,0.450%,0.654%,0.00417%,0.150%,0%,98.7%
2024-12-16 00:39:15,0.504%,0.700%,0%,0.183%,0%,98.7%
2024-12-16 00:39:30,0.512%,0.596%,0.00417%,0.167%,0%,98.7%
2024-12-16 00:39:45,0.492%,0.867%,0%,0.167%,0%,98.4%
2024-12-16 00:40:00,0.475%,0.604%,0.00417%,0.154%,0%,98.7%
2024-12-16 00:40:15,0.412%,0.573%,0%,0.109%,0%,86.4%
2024-12-16 00:40:30,0.492%,0.700%,0%,0.0875%,0%,98.6%
2024-12-16 00:40:45,0.436%,0.578%,0.00732%,0.106%,0%,86.6%
2024-12-16 00:41:00,0.454%,0.621%,0%,0.108%,0%,98.7%
2024-12-16 00:41:15,0.432%,0.560%,0%,0.121%,0%,86.7%
2024-12-16 00:41:30,0.546%,0.737%,0.00417%,0.167%,0%,98.4%
2024-12-16 00:41:45,0.457%,0.464%,0.00365%,0.135%,0%,86.4%
2024-12-16 00:42:00,0.554%,0.683%,0%,0.150%,0%,98.5%
2024-12-16 00:42:15,0.499%,0.597%,0.00364%,0.142%,0%,86.1%
2024-12-16 00:42:30,0.517%,0.613%,0.00417%,0.187%,0%,98.5%
2024-12-16 00:42:45,0.475%,0.611%,0%,0.165%,0%,86.4%
2024-12-16 00:43:00,0.637%,0.750%,0%,0.117%,0%,98.4%
2024-12-16 00:43:15,0.487%,0.747%,0.00366%,0.146%,0%,86.5%
2024-12-16 00:43:30,0.542%,0.654%,0.00417%,0.171%,0%,98.5%
2024-12-16 00:43:45,0.621%,0.567%,0%,0.200%,0%,98.4%
2024-12-16 00:44:00,0.617%,0.867%,0.00417%,0.171%,0%,98.4%
2024-12-16 00:44:15,0.521%,0.754%,0%,0.167%,0%,98.5%
2024-12-16 00:44:30,0.496%,0.667%,0%,0.167%,0%,98.6%
