"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-16 00:34:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:34:30,534 b/s,0 b/s,9.15 kb/s,0 b/s
2024-12-16 00:34:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:35:00,533 b/s,0 b/s,9.14 kb/s,0 b/s
2024-12-16 00:35:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:35:30,533 b/s,0 b/s,9.14 kb/s,0 b/s
2024-12-16 00:35:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:36:00,532 b/s,0 b/s,9.13 kb/s,0 b/s
2024-12-16 00:36:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:36:30,533 b/s,0 b/s,9.13 kb/s,0 b/s
2024-12-16 00:36:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:37:00,533 b/s,0 b/s,9.15 kb/s,0 b/s
2024-12-16 00:37:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:37:30,533 b/s,0 b/s,9.12 kb/s,0 b/s
2024-12-16 00:37:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:38:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:38:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:38:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:38:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:39:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:39:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:39:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:39:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:40:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:40:15,532 b/s,0 b/s,9.12 kb/s,0 b/s
2024-12-16 00:40:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:40:45,533 b/s,0 b/s,9.14 kb/s,0 b/s
2024-12-16 00:41:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:41:15,533 b/s,0 b/s,9.13 kb/s,0 b/s
2024-12-16 00:41:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:41:45,533 b/s,0 b/s,9.14 kb/s,0 b/s
2024-12-16 00:42:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:42:15,531 b/s,0 b/s,9.08 kb/s,0 b/s
2024-12-16 00:42:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:42:45,533 b/s,0 b/s,9.13 kb/s,0 b/s
2024-12-16 00:43:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:43:15,533 b/s,0 b/s,9.14 kb/s,0 b/s
2024-12-16 00:43:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:43:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:44:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:44:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-16 00:44:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
