"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 20:27:30,15.5 GiB,2.07 GiB,840 MiB,12.7 GiB,473 MiB
2024-12-15 20:27:45,15.5 GiB,2.33 GiB,901 MiB,12.3 GiB,473 MiB
2024-12-15 20:28:00,15.5 GiB,2.38 GiB,902 MiB,12.3 GiB,473 MiB
2024-12-15 20:28:15,15.5 GiB,2.50 GiB,902 MiB,12.2 GiB,473 MiB
2024-12-15 20:28:30,15.5 GiB,2.56 GiB,902 MiB,12.1 GiB,473 MiB
2024-12-15 20:28:45,15.5 GiB,2.67 GiB,903 MiB,12.0 GiB,473 MiB
2024-12-15 20:29:00,15.5 GiB,2.74 GiB,903 MiB,11.9 GiB,473 MiB
2024-12-15 20:29:15,15.5 GiB,2.86 GiB,903 MiB,11.8 GiB,473 MiB
2024-12-15 20:29:30,15.5 GiB,2.91 GiB,903 MiB,11.8 GiB,473 MiB
2024-12-15 20:29:45,15.5 GiB,3.02 GiB,903 MiB,11.6 GiB,473 MiB
2024-12-15 20:30:00,15.5 GiB,3.07 GiB,903 MiB,11.6 GiB,473 MiB
2024-12-15 20:30:15,15.5 GiB,3.14 GiB,903 MiB,11.5 GiB,473 MiB
2024-12-15 20:30:30,15.5 GiB,3.25 GiB,904 MiB,11.4 GiB,473 MiB
2024-12-15 20:30:45,15.5 GiB,3.31 GiB,904 MiB,11.4 GiB,473 MiB
2024-12-15 20:31:00,15.5 GiB,3.41 GiB,904 MiB,11.3 GiB,473 MiB
2024-12-15 20:31:15,15.5 GiB,3.49 GiB,904 MiB,11.2 GiB,473 MiB
2024-12-15 20:31:30,15.5 GiB,3.58 GiB,904 MiB,11.1 GiB,473 MiB
2024-12-15 20:31:45,15.5 GiB,3.63 GiB,904 MiB,11.0 GiB,473 MiB
2024-12-15 20:32:00,15.5 GiB,3.74 GiB,904 MiB,10.9 GiB,473 MiB
2024-12-15 20:32:15,15.5 GiB,3.82 GiB,904 MiB,10.8 GiB,473 MiB
2024-12-15 20:32:30,15.5 GiB,3.87 GiB,904 MiB,10.8 GiB,473 MiB
2024-12-15 20:32:45,15.5 GiB,3.97 GiB,904 MiB,10.7 GiB,473 MiB
2024-12-15 20:33:00,15.5 GiB,4.03 GiB,904 MiB,10.6 GiB,473 MiB
2024-12-15 20:33:15,15.5 GiB,4.14 GiB,905 MiB,10.5 GiB,473 MiB
2024-12-15 20:33:30,15.5 GiB,4.20 GiB,905 MiB,10.5 GiB,473 MiB
2024-12-15 20:33:45,15.5 GiB,4.30 GiB,905 MiB,10.4 GiB,473 MiB
2024-12-15 20:34:00,15.5 GiB,4.35 GiB,905 MiB,10.3 GiB,473 MiB
2024-12-15 20:34:15,15.5 GiB,4.48 GiB,905 MiB,10.2 GiB,473 MiB
2024-12-15 20:34:30,15.5 GiB,4.53 GiB,905 MiB,10.1 GiB,473 MiB
2024-12-15 20:34:45,15.5 GiB,4.64 GiB,906 MiB,10.0 GiB,473 MiB
2024-12-15 20:35:00,15.5 GiB,4.69 GiB,906 MiB,9.98 GiB,473 MiB
2024-12-15 20:35:15,15.5 GiB,4.76 GiB,906 MiB,9.91 GiB,473 MiB
2024-12-15 20:35:30,15.5 GiB,4.87 GiB,906 MiB,9.79 GiB,473 MiB
2024-12-15 20:35:45,15.5 GiB,4.92 GiB,906 MiB,9.74 GiB,473 MiB
2024-12-15 20:36:00,15.5 GiB,5.04 GiB,906 MiB,9.63 GiB,473 MiB
2024-12-15 20:36:15,15.5 GiB,5.09 GiB,906 MiB,9.58 GiB,473 MiB
2024-12-15 20:36:30,15.5 GiB,5.20 GiB,906 MiB,9.46 GiB,473 MiB
2024-12-15 20:36:45,15.5 GiB,5.27 GiB,906 MiB,9.40 GiB,473 MiB
2024-12-15 20:37:00,15.5 GiB,5.36 GiB,906 MiB,9.30 GiB,473 MiB
2024-12-15 20:37:15,15.5 GiB,5.43 GiB,906 MiB,9.23 GiB,473 MiB
2024-12-15 20:37:30,15.5 GiB,5.53 GiB,907 MiB,9.13 GiB,473 MiB
2024-12-15 20:37:45,15.5 GiB,5.58 GiB,907 MiB,9.08 GiB,473 MiB
