"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 19:34:30,15.5 GiB,1.95 GiB,818 MiB,12.8 GiB,473 MiB
2024-12-15 19:34:45,15.5 GiB,4.15 GiB,903 MiB,10.5 GiB,473 MiB
2024-12-15 19:35:00,15.5 GiB,4.24 GiB,904 MiB,10.4 GiB,473 MiB
2024-12-15 19:35:15,15.5 GiB,4.32 GiB,904 MiB,10.3 GiB,473 MiB
2024-12-15 19:35:30,15.5 GiB,4.42 GiB,912 MiB,10.2 GiB,473 MiB
2024-12-15 19:35:45,15.5 GiB,4.46 GiB,913 MiB,10.2 GiB,473 MiB
2024-12-15 19:36:00,15.5 GiB,4.55 GiB,913 MiB,10.1 GiB,473 MiB
2024-12-15 19:36:15,15.5 GiB,4.60 GiB,913 MiB,10.1 GiB,473 MiB
2024-12-15 19:36:30,15.5 GiB,4.68 GiB,913 MiB,9.97 GiB,473 MiB
2024-12-15 19:36:45,15.5 GiB,4.72 GiB,913 MiB,9.93 GiB,473 MiB
2024-12-15 19:37:00,15.5 GiB,4.81 GiB,913 MiB,9.85 GiB,473 MiB
2024-12-15 19:37:15,15.5 GiB,4.87 GiB,913 MiB,9.79 GiB,473 MiB
2024-12-15 19:37:30,15.5 GiB,4.95 GiB,914 MiB,9.71 GiB,473 MiB
2024-12-15 19:37:45,15.5 GiB,4.99 GiB,914 MiB,9.67 GiB,473 MiB
2024-12-15 19:38:00,15.5 GiB,5.07 GiB,914 MiB,9.58 GiB,473 MiB
2024-12-15 19:38:15,15.5 GiB,5.14 GiB,914 MiB,9.51 GiB,473 MiB
2024-12-15 19:38:30,15.5 GiB,5.18 GiB,914 MiB,9.48 GiB,473 MiB
2024-12-15 19:38:45,15.5 GiB,5.27 GiB,914 MiB,9.38 GiB,473 MiB
2024-12-15 19:39:00,15.5 GiB,5.31 GiB,914 MiB,9.34 GiB,473 MiB
2024-12-15 19:39:15,15.5 GiB,5.40 GiB,914 MiB,9.26 GiB,473 MiB
2024-12-15 19:39:30,15.5 GiB,5.45 GiB,914 MiB,9.21 GiB,473 MiB
2024-12-15 19:39:45,15.5 GiB,5.53 GiB,915 MiB,9.12 GiB,473 MiB
2024-12-15 19:40:00,15.5 GiB,5.57 GiB,915 MiB,9.09 GiB,473 MiB
2024-12-15 19:40:15,15.5 GiB,5.67 GiB,915 MiB,8.99 GiB,473 MiB
2024-12-15 19:40:30,15.5 GiB,5.71 GiB,915 MiB,8.94 GiB,473 MiB
2024-12-15 19:40:45,15.5 GiB,5.79 GiB,915 MiB,8.86 GiB,473 MiB
2024-12-15 19:41:00,15.5 GiB,5.83 GiB,915 MiB,8.82 GiB,473 MiB
2024-12-15 19:41:15,15.5 GiB,5.89 GiB,916 MiB,8.77 GiB,473 MiB
2024-12-15 19:41:30,15.5 GiB,5.96 GiB,916 MiB,8.69 GiB,473 MiB
2024-12-15 19:41:45,15.5 GiB,6.01 GiB,916 MiB,8.64 GiB,473 MiB
2024-12-15 19:42:00,15.5 GiB,6.10 GiB,916 MiB,8.56 GiB,473 MiB
2024-12-15 19:42:15,15.5 GiB,6.14 GiB,916 MiB,8.51 GiB,473 MiB
2024-12-15 19:42:30,15.5 GiB,6.24 GiB,916 MiB,8.41 GiB,473 MiB
2024-12-15 19:42:45,15.5 GiB,6.28 GiB,916 MiB,8.37 GiB,473 MiB
2024-12-15 19:43:00,15.5 GiB,6.35 GiB,916 MiB,8.30 GiB,473 MiB
2024-12-15 19:43:15,15.5 GiB,6.41 GiB,916 MiB,8.24 GiB,473 MiB
2024-12-15 19:43:30,15.5 GiB,6.45 GiB,916 MiB,8.20 GiB,473 MiB
2024-12-15 19:43:45,15.5 GiB,6.54 GiB,917 MiB,8.11 GiB,473 MiB
2024-12-15 19:44:00,15.5 GiB,6.59 GiB,917 MiB,8.06 GiB,473 MiB
2024-12-15 19:44:15,15.5 GiB,6.69 GiB,917 MiB,7.97 GiB,473 MiB
2024-12-15 19:44:30,15.5 GiB,6.73 GiB,917 MiB,7.92 GiB,473 MiB
2024-12-15 19:44:45,15.5 GiB,6.82 GiB,917 MiB,7.84 GiB,473 MiB
