"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 16:59:30,15.5 GiB,2.06 GiB,626 MiB,12.9 GiB,549 MiB
2024-12-15 16:59:45,15.5 GiB,2.56 GiB,662 MiB,12.3 GiB,548 MiB
2024-12-15 17:00:00,15.5 GiB,2.80 GiB,769 MiB,12.0 GiB,548 MiB
2024-12-15 17:00:15,15.5 GiB,2.86 GiB,824 MiB,11.9 GiB,548 MiB
2024-12-15 17:00:30,15.5 GiB,2.98 GiB,933 MiB,11.7 GiB,548 MiB
2024-12-15 17:00:45,15.5 GiB,3.00 GiB,987 MiB,11.6 GiB,548 MiB
2024-12-15 17:01:00,15.5 GiB,3.21 GiB,1.07 GiB,11.3 GiB,546 MiB
2024-12-15 17:01:15,15.5 GiB,3.33 GiB,1.12 GiB,11.1 GiB,546 MiB
2024-12-15 17:01:30,15.5 GiB,3.38 GiB,1.23 GiB,10.9 GiB,546 MiB
2024-12-15 17:01:45,15.5 GiB,3.39 GiB,1.28 GiB,10.9 GiB,546 MiB
2024-12-15 17:02:00,15.5 GiB,3.48 GiB,1.39 GiB,10.7 GiB,546 MiB
2024-12-15 17:02:15,15.5 GiB,3.49 GiB,1.44 GiB,10.6 GiB,546 MiB
2024-12-15 17:02:30,15.5 GiB,3.54 GiB,1.54 GiB,10.5 GiB,546 MiB
2024-12-15 17:02:45,15.5 GiB,3.55 GiB,1.60 GiB,10.4 GiB,546 MiB
2024-12-15 17:03:00,15.5 GiB,3.57 GiB,1.71 GiB,10.3 GiB,546 MiB
2024-12-15 17:03:15,15.5 GiB,3.59 GiB,1.76 GiB,10.2 GiB,546 MiB
2024-12-15 17:03:30,15.5 GiB,3.63 GiB,1.86 GiB,10.1 GiB,546 MiB
2024-12-15 17:03:45,15.5 GiB,3.63 GiB,1.92 GiB,10.0 GiB,546 MiB
2024-12-15 17:04:00,15.5 GiB,3.66 GiB,2.02 GiB,9.86 GiB,546 MiB
2024-12-15 17:04:15,15.5 GiB,3.68 GiB,2.07 GiB,9.79 GiB,546 MiB
2024-12-15 17:04:30,15.5 GiB,3.72 GiB,2.18 GiB,9.65 GiB,546 MiB
2024-12-15 17:04:45,15.5 GiB,3.73 GiB,2.23 GiB,9.59 GiB,546 MiB
2024-12-15 17:05:00,15.5 GiB,3.75 GiB,2.34 GiB,9.45 GiB,546 MiB
2024-12-15 17:05:15,15.5 GiB,3.77 GiB,2.39 GiB,9.38 GiB,546 MiB
2024-12-15 17:05:30,15.5 GiB,3.81 GiB,2.50 GiB,9.25 GiB,546 MiB
2024-12-15 17:05:45,15.5 GiB,3.82 GiB,2.55 GiB,9.18 GiB,546 MiB
2024-12-15 17:06:00,15.5 GiB,3.84 GiB,2.65 GiB,9.05 GiB,546 MiB
2024-12-15 17:06:15,15.5 GiB,3.86 GiB,2.71 GiB,8.98 GiB,546 MiB
2024-12-15 17:06:30,15.5 GiB,3.90 GiB,2.81 GiB,8.83 GiB,546 MiB
2024-12-15 17:06:45,15.5 GiB,3.91 GiB,2.86 GiB,8.77 GiB,546 MiB
2024-12-15 17:07:00,15.5 GiB,3.95 GiB,2.97 GiB,8.63 GiB,546 MiB
2024-12-15 17:07:15,15.5 GiB,3.96 GiB,3.02 GiB,8.57 GiB,546 MiB
2024-12-15 17:07:30,15.5 GiB,3.99 GiB,3.13 GiB,8.43 GiB,546 MiB
2024-12-15 17:07:45,15.5 GiB,4.01 GiB,3.18 GiB,8.36 GiB,546 MiB
2024-12-15 17:08:00,15.5 GiB,4.03 GiB,3.28 GiB,8.24 GiB,545 MiB
2024-12-15 17:08:15,15.5 GiB,4.07 GiB,4.00 GiB,7.47 GiB,542 MiB
2024-12-15 17:08:30,15.5 GiB,4.09 GiB,4.11 GiB,7.35 GiB,542 MiB
2024-12-15 17:08:45,15.5 GiB,4.46 GiB,4.18 GiB,6.91 GiB,542 MiB
2024-12-15 17:09:00,15.5 GiB,4.66 GiB,4.28 GiB,6.60 GiB,542 MiB
2024-12-15 17:09:15,15.5 GiB,4.80 GiB,4.34 GiB,6.42 GiB,542 MiB
2024-12-15 17:09:30,15.5 GiB,4.27 GiB,4.44 GiB,6.84 GiB,542 MiB
2024-12-15 17:09:45,15.5 GiB,4.21 GiB,4.49 GiB,6.85 GiB,542 MiB
