"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2024-12-15 16:59:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 16:59:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:00:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:00:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:00:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:00:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:01:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:01:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:01:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:01:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:02:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:02:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:02:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:02:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:03:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:03:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:03:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:03:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:04:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:04:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:04:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:04:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:05:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:05:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:05:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:05:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:06:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:06:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:06:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:06:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:07:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:07:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:07:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:07:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:08:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:08:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:08:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:08:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:09:00,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:09:15,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:09:30,607 b/s,0 b/s,10.4 kb/s,0 b/s
2024-12-15 17:09:45,607 b/s,0 b/s,10.4 kb/s,0 b/s
