"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 17:29:30,15.5 GiB,1.86 GiB,656 MiB,13.0 GiB,560 MiB
2024-12-15 17:29:45,15.5 GiB,2.30 GiB,672 MiB,12.6 GiB,559 MiB
2024-12-15 17:30:00,15.5 GiB,2.38 GiB,672 MiB,12.5 GiB,559 MiB
2024-12-15 17:30:15,15.5 GiB,2.46 GiB,672 MiB,12.4 GiB,559 MiB
2024-12-15 17:30:30,15.5 GiB,2.61 GiB,673 MiB,12.3 GiB,559 MiB
2024-12-15 17:30:45,15.5 GiB,2.69 GiB,673 MiB,12.2 GiB,559 MiB
2024-12-15 17:31:00,15.5 GiB,2.83 GiB,674 MiB,12.1 GiB,559 MiB
2024-12-15 17:31:15,15.5 GiB,2.91 GiB,674 MiB,12.0 GiB,559 MiB
2024-12-15 17:31:30,15.5 GiB,3.07 GiB,674 MiB,11.8 GiB,559 MiB
2024-12-15 17:31:45,15.5 GiB,3.12 GiB,674 MiB,11.8 GiB,559 MiB
2024-12-15 17:32:00,15.5 GiB,3.26 GiB,674 MiB,11.6 GiB,559 MiB
2024-12-15 17:32:15,15.5 GiB,3.34 GiB,675 MiB,11.5 GiB,559 MiB
2024-12-15 17:32:30,15.5 GiB,3.51 GiB,676 MiB,11.4 GiB,559 MiB
2024-12-15 17:32:45,15.5 GiB,3.57 GiB,676 MiB,11.3 GiB,559 MiB
2024-12-15 17:33:00,15.5 GiB,3.72 GiB,676 MiB,11.2 GiB,559 MiB
2024-12-15 17:33:15,15.5 GiB,3.79 GiB,676 MiB,11.1 GiB,559 MiB
2024-12-15 17:33:30,15.5 GiB,3.95 GiB,677 MiB,10.9 GiB,559 MiB
2024-12-15 17:33:45,15.5 GiB,4.02 GiB,677 MiB,10.9 GiB,559 MiB
2024-12-15 17:34:00,15.5 GiB,4.08 GiB,678 MiB,10.8 GiB,559 MiB
2024-12-15 17:34:15,15.5 GiB,4.25 GiB,678 MiB,10.6 GiB,559 MiB
2024-12-15 17:34:30,15.5 GiB,4.33 GiB,679 MiB,10.6 GiB,559 MiB
2024-12-15 17:34:45,15.5 GiB,4.47 GiB,679 MiB,10.4 GiB,559 MiB
2024-12-15 17:35:00,15.5 GiB,4.54 GiB,679 MiB,10.3 GiB,559 MiB
2024-12-15 17:35:15,15.5 GiB,4.70 GiB,680 MiB,10.2 GiB,558 MiB
2024-12-15 17:35:30,15.5 GiB,4.79 GiB,683 MiB,10.1 GiB,558 MiB
2024-12-15 17:35:45,15.5 GiB,4.93 GiB,684 MiB,9.95 GiB,558 MiB
2024-12-15 17:36:00,15.5 GiB,5.00 GiB,684 MiB,9.88 GiB,558 MiB
2024-12-15 17:36:15,15.5 GiB,5.17 GiB,1.01 GiB,9.36 GiB,558 MiB
2024-12-15 17:36:30,15.5 GiB,5.24 GiB,1.01 GiB,9.29 GiB,558 MiB
2024-12-15 17:36:45,15.5 GiB,5.38 GiB,1.01 GiB,9.15 GiB,558 MiB
2024-12-15 17:37:00,15.5 GiB,5.45 GiB,1.01 GiB,9.08 GiB,558 MiB
2024-12-15 17:37:15,15.5 GiB,5.62 GiB,1.36 GiB,8.58 GiB,558 MiB
2024-12-15 17:37:30,15.5 GiB,5.69 GiB,1.36 GiB,8.50 GiB,558 MiB
2024-12-15 17:37:45,15.5 GiB,5.77 GiB,1.36 GiB,8.43 GiB,558 MiB
2024-12-15 17:38:00,15.5 GiB,5.90 GiB,1.36 GiB,8.30 GiB,558 MiB
2024-12-15 17:38:15,15.5 GiB,5.97 GiB,1.36 GiB,8.22 GiB,558 MiB
2024-12-15 17:38:30,15.5 GiB,6.13 GiB,1.36 GiB,8.06 GiB,558 MiB
2024-12-15 17:38:45,15.5 GiB,6.20 GiB,1.36 GiB,7.99 GiB,558 MiB
2024-12-15 17:39:00,15.5 GiB,6.34 GiB,1.36 GiB,7.85 GiB,558 MiB
2024-12-15 17:39:15,15.5 GiB,6.43 GiB,1.36 GiB,7.77 GiB,558 MiB
2024-12-15 17:39:30,15.5 GiB,6.59 GiB,1.36 GiB,7.60 GiB,558 MiB
2024-12-15 17:39:45,15.5 GiB,6.65 GiB,1.36 GiB,7.54 GiB,558 MiB
2024-12-15 17:40:00,15.5 GiB,6.79 GiB,1.36 GiB,7.40 GiB,558 MiB
