"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-15 14:44:45,0.167%,0.179%,0.00417%,0.0292%,0%,99.6%
2024-12-15 14:45:00,0.125%,0.154%,0.0250%,0.0125%,0%,99.6%
2024-12-15 14:45:15,1.70%,2.23%,0.121%,0.342%,0%,95.6%
2024-12-15 14:45:30,1.00%,1.58%,0.0250%,0.196%,0%,97.3%
2024-12-15 14:45:45,0.904%,1.76%,0.00833%,0.275%,0%,97.2%
2024-12-15 14:46:00,0.883%,1.85%,0.00833%,0.258%,0%,97.1%
2024-12-15 14:46:15,0.804%,1.31%,0.00833%,0.300%,0%,97.3%
2024-12-15 14:46:30,0.796%,1.33%,0.0375%,0.337%,0%,97.3%
2024-12-15 14:46:45,0.892%,1.50%,0.00417%,0.279%,0%,97.3%
2024-12-15 14:47:00,0.921%,1.49%,0.113%,0.296%,0%,97.1%
2024-12-15 14:47:15,0.712%,1.32%,0.0167%,0.233%,0%,97.4%
2024-12-15 14:47:30,0.783%,1.55%,0.0125%,0.317%,0%,97.3%
2024-12-15 14:47:45,0.817%,1.56%,0.00417%,0.208%,0%,97.4%
2024-12-15 14:48:00,0.858%,1.41%,0.0125%,0.229%,0%,97.5%
2024-12-15 14:48:15,0.862%,1.40%,0%,0.200%,0%,97.4%
2024-12-15 14:48:30,0.892%,1.45%,0.0292%,0.338%,0%,97.4%
2024-12-15 14:48:45,0.808%,1.42%,0.00417%,0.246%,0%,97.4%
2024-12-15 14:49:00,0.946%,1.48%,0.0292%,0.321%,0%,97.2%
2024-12-15 14:49:15,0.879%,1.63%,0.171%,0.304%,0%,97.1%
2024-12-15 14:49:30,0.917%,1.59%,0.00417%,0.196%,0%,97.2%
2024-12-15 14:49:45,0.954%,1.54%,0.0750%,0.283%,0%,97.1%
2024-12-15 14:50:00,0.967%,1.59%,0.00833%,0.229%,0%,97.3%
2024-12-15 14:50:15,0.746%,1.44%,0.00417%,0.279%,0%,97.3%
2024-12-15 14:50:30,0.792%,1.36%,0.0250%,0.238%,0%,97.4%
2024-12-15 14:50:45,0.783%,1.49%,0.00833%,0.396%,0%,97.2%
2024-12-15 14:51:00,0.892%,1.36%,0%,0.317%,0%,97.2%
2024-12-15 14:51:15,1.01%,1.22%,0.129%,0.242%,0%,97.2%
2024-12-15 14:51:30,0.917%,1.50%,0.00833%,0.333%,0%,97.4%
2024-12-15 14:51:45,0.933%,1.63%,0.0333%,0.304%,0%,97.1%
2024-12-15 14:52:00,0.850%,1.70%,0.0125%,0.350%,0%,97.2%
2024-12-15 14:52:15,0.808%,1.34%,0.00417%,0.188%,0%,97.3%
2024-12-15 14:52:30,0.942%,1.37%,0.112%,0.296%,0%,97.2%
2024-12-15 14:52:45,0.867%,1.75%,0.00417%,0.325%,0%,97.2%
2024-12-15 14:53:00,0.871%,1.59%,0.0417%,0.258%,0%,97.3%
2024-12-15 14:53:15,0.800%,1.72%,0.0292%,0.225%,0%,97.3%
2024-12-15 14:53:30,0.842%,1.42%,0.0792%,0.271%,0%,97.3%
2024-12-15 14:53:45,0.850%,1.35%,0.0125%,0.288%,0%,97.2%
2024-12-15 14:54:00,0.958%,1.31%,0.00833%,0.288%,0%,97.2%
2024-12-15 14:54:15,0.783%,1.53%,0.0833%,0.267%,0%,97.2%
2024-12-15 14:54:30,0.825%,1.41%,0.0792%,0.258%,0%,97.2%
2024-12-15 14:54:45,0.896%,1.90%,0.0458%,0.358%,0%,97.2%
2024-12-15 14:55:00,0.871%,1.18%,0.0375%,0.312%,0%,97.3%
2024-12-15 14:55:15,0.867%,1.39%,0.121%,0.300%,0%,97.1%
