"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 14:44:45,15.5 GiB,2.07 GiB,1.13 GiB,12.3 GiB,84.9 MiB
2024-12-15 14:45:00,15.5 GiB,2.10 GiB,683 MiB,12.8 GiB,84.9 MiB
2024-12-15 14:45:15,15.5 GiB,3.79 GiB,885 MiB,10.9 GiB,84.9 MiB
2024-12-15 14:45:30,15.5 GiB,4.16 GiB,1.38 GiB,10.0 GiB,84.9 MiB
2024-12-15 14:45:45,15.5 GiB,4.40 GiB,1.64 GiB,9.51 GiB,84.9 MiB
2024-12-15 14:46:00,15.5 GiB,4.49 GiB,2.15 GiB,8.90 GiB,84.9 MiB
2024-12-15 14:46:15,15.5 GiB,4.52 GiB,2.41 GiB,8.62 GiB,84.9 MiB
2024-12-15 14:46:30,15.5 GiB,4.54 GiB,2.92 GiB,8.09 GiB,84.9 MiB
2024-12-15 14:46:45,15.5 GiB,4.56 GiB,3.18 GiB,7.80 GiB,84.9 MiB
2024-12-15 14:47:00,15.5 GiB,4.60 GiB,3.70 GiB,7.25 GiB,84.9 MiB
2024-12-15 14:47:15,15.5 GiB,4.61 GiB,3.96 GiB,6.98 GiB,84.9 MiB
2024-12-15 14:47:30,15.5 GiB,4.63 GiB,4.47 GiB,6.45 GiB,84.9 MiB
2024-12-15 14:47:45,15.5 GiB,4.66 GiB,4.73 GiB,6.16 GiB,84.9 MiB
2024-12-15 14:48:00,15.5 GiB,4.69 GiB,5.25 GiB,5.61 GiB,84.9 MiB
2024-12-15 14:48:15,15.5 GiB,4.70 GiB,5.51 GiB,5.35 GiB,84.9 MiB
2024-12-15 14:48:30,15.5 GiB,4.73 GiB,6.02 GiB,4.80 GiB,84.9 MiB
2024-12-15 14:48:45,15.5 GiB,4.75 GiB,6.28 GiB,4.52 GiB,84.9 MiB
2024-12-15 14:49:00,15.5 GiB,4.80 GiB,6.80 GiB,3.95 GiB,84.9 MiB
2024-12-15 14:49:15,15.5 GiB,4.82 GiB,7.06 GiB,3.68 GiB,84.9 MiB
2024-12-15 14:49:30,15.5 GiB,4.84 GiB,7.57 GiB,3.14 GiB,84.9 MiB
2024-12-15 14:49:45,15.5 GiB,4.87 GiB,7.83 GiB,2.85 GiB,84.9 MiB
2024-12-15 14:50:00,15.5 GiB,4.89 GiB,8.34 GiB,2.31 GiB,84.9 MiB
2024-12-15 14:50:15,15.5 GiB,4.91 GiB,8.61 GiB,2.04 GiB,84.9 MiB
2024-12-15 14:50:30,15.5 GiB,4.95 GiB,9.12 GiB,1.48 GiB,84.9 MiB
2024-12-15 14:50:45,15.5 GiB,4.96 GiB,9.38 GiB,1.21 GiB,84.9 MiB
2024-12-15 14:51:00,15.5 GiB,4.98 GiB,9.90 GiB,685 MiB,84.9 MiB
2024-12-15 14:51:15,15.5 GiB,5.00 GiB,10.2 GiB,403 MiB,84.9 MiB
2024-12-15 14:51:30,15.5 GiB,5.03 GiB,10.4 GiB,163 MiB,85.2 MiB
2024-12-15 14:51:45,15.5 GiB,5.08 GiB,10.3 GiB,163 MiB,85.2 MiB
2024-12-15 14:52:00,15.5 GiB,5.08 GiB,10.3 GiB,151 MiB,85.2 MiB
2024-12-15 14:52:15,15.5 GiB,5.07 GiB,10.3 GiB,149 MiB,85.2 MiB
2024-12-15 14:52:30,15.5 GiB,5.11 GiB,10.3 GiB,161 MiB,85.2 MiB
2024-12-15 14:52:45,15.5 GiB,5.13 GiB,10.3 GiB,165 MiB,85.2 MiB
2024-12-15 14:53:00,15.5 GiB,5.15 GiB,10.3 GiB,143 MiB,85.2 MiB
2024-12-15 14:53:15,15.5 GiB,5.16 GiB,10.2 GiB,150 MiB,85.2 MiB
2024-12-15 14:53:30,15.5 GiB,5.19 GiB,10.2 GiB,156 MiB,85.2 MiB
2024-12-15 14:53:45,15.5 GiB,5.22 GiB,10.2 GiB,152 MiB,85.2 MiB
2024-12-15 14:54:00,15.5 GiB,5.24 GiB,10.2 GiB,145 MiB,85.2 MiB
2024-12-15 14:54:15,15.5 GiB,5.27 GiB,10.1 GiB,152 MiB,85.4 MiB
2024-12-15 14:54:30,15.5 GiB,5.29 GiB,10.1 GiB,150 MiB,86.2 MiB
2024-12-15 14:54:45,15.5 GiB,5.31 GiB,10.1 GiB,142 MiB,88.7 MiB
2024-12-15 14:55:00,15.5 GiB,5.30 GiB,10.1 GiB,153 MiB,118 MiB
2024-12-15 14:55:15,15.5 GiB,5.31 GiB,10.1 GiB,155 MiB,126 MiB
